excel_row,machine_group,min_gage,max_gage,min_len,max_len,gcsp,score_real,score_lp,score_lpfa,score_hv,score_nn,is_nn_pick,is_optimum,rank_real,pct_optimum
259,cut & crimp with seal both sides,0.22,6.0,7001.0,8000.0,2.3,44,21,21,2,44.339,0,0,345,49.44
260,cut & crimp with seal both sides,0.22,6.0,8001.0,9000.0,2.45,44,21,21,2,44.3362,0,0,362,49.44
261,cut & crimp with seal both sides,0.22,6.0,9001.0,11000.0,2.71,44,21,21,2,44.3168,0,0,363,49.44
262,cut & crimp with seal both sides,0.22,6.0,11001.0,13000.0,2.9,44,21,21,2,44.3238,0,0,364,49.44
263,cut & crimp with seal both sides,0.22,6.0,13001.0,15000.0,3.1,44,21,21,2,44.3202,0,0,350,49.44
264,cut & crimp with seal both sides,0.22,6.0,15001.0,17000.0,3.3,44,21,21,2,44.3085,0,0,351,49.44
265,cut & crimp with seal both sides,0.22,6.0,17001.0,19000.0,3.5,44,21,21,2,44.2884,0,0,352,49.44
268,cut & crimp with seal both sides with CPS option,0.22,6.0,60.0,100.0,1.487,48,21,21,6,48.12,0,0,201,53.93
269,cut & crimp with seal both sides with CPS option,0.22,6.0,101.0,1000.0,1.487,44,21,21,2,44.3497,0,0,353,49.44
270,cut & crimp with seal both sides with CPS option,0.22,6.0,1001.0,2000.0,1.607,44,21,21,2,44.34,0,0,354,49.44
271,cut & crimp with seal both sides with CPS option,0.22,6.0,2001.0,3000.0,1.717,44,21,21,2,44.3325,0,0,355,49.44
272,cut & crimp with seal both sides with CPS option,0.22,6.0,3001.0,4000.0,1.847,44,21,21,2,44.3368,0,0,356,49.44
273,cut & crimp with seal both sides with CPS option,0.22,6.0,4001.0,5000.0,1.977,44,21,21,2,44.3432,0,0,357,49.44
274,cut & crimp with seal both sides with CPS option,0.22,6.0,5001.0,6000.0,2.117,44,21,21,2,44.3406,0,0,358,49.44
275,cut & crimp with seal both sides with CPS option,0.22,6.0,6001.0,7000.0,2.267,44,21,21,2,44.3356,0,0,359,49.44
276,cut & crimp with seal both sides with CPS option,0.22,6.0,7001.0,8000.0,2.407,44,21,21,2,44.3346,0,0,360,49.44
277,cut & crimp with seal both sides with CPS option,0.22,6.0,8001.0,9000.0,2.557,44,21,21,2,44.332,0,0,338,49.44
278,cut & crimp with seal both sides with CPS option,0.22,6.0,9001.0,11000.0,2.817,44,21,21,2,44.3145,0,0,337,49.44
279,cut & crimp with seal both sides with CPS option,0.22,6.0,11001.0,13000.0,3.007,44,21,21,2,44.3219,0,0,336,49.44
280,cut & crimp with seal both sides with CPS option,0.22,6.0,13001.0,15000.0,3.207,44,21,21,2,44.319,0,0,335,49.44
281,cut & crimp with seal both sides with CPS option,0.22,6.0,15001.0,17000.0,3.407,44,21,21,2,44.3084,0,0,334,49.44
282,cut & crimp with seal both sides with CPS option,0.22,6.0,17001.0,19000.0,3.607,44,21,21,2,44.2842,0,0,341,49.44
285,cut/ strip &crimp with marking text,0.22,6.0,60.0,100.0,1.522,48,21,21,6,48.0692,0,0,199,53.93
286,cut/ strip &crimp with marking text,0.22,6.0,101.0,1000.0,1.522,44,21,21,2,44.3125,0,0,340,49.44
287,cut/ strip &crimp with marking text,0.22,6.0,1001.0,2000.0,1.737,44,21,21,2,44.3317,0,0,349,49.44
288,cut/ strip &crimp with marking text,0.22,6.0,2001.0,3000.0,2.002,44,21,21,2,44.3256,0,0,346,49.44
289,cut/ strip &crimp with marking text,0.22,6.0,3001.0,4000.0,2.438,44,21,21,2,44.3079,0,0,347,49.44
290,cut/ strip &crimp with marking text,0.22,6.0,4001.0,5000.0,2.746,44,21,21,2,44.3062,0,0,348,49.44
291,cut/ strip &crimp with marking text,0.22,6.0,5001.0,6000.0,2.998,44,21,21,2,44.3028,0,0,365,49.44
292,cut/ strip &crimp with marking text,0.22,6.0,6001.0,7000.0,3.234,44,21,21,2,44.2936,0,0,342,49.44
293,cut/ strip &crimp with marking text,0.22,6.0,7001.0,8000.0,3.485,44,21,21,2,44.2888,0,0,343,49.44
294,cut/ strip &crimp with marking text,0.22,6.0,8001.0,9000.0,3.669,44,21,21,2,44.2905,0,0,344,49.44
295,cut/ strip &crimp with marking text,0.22,6.0,9001.0,11000.0,4.0948,44,21,21,2,44.2826,0,0,313,49.44
296,cut/ strip &crimp with marking text,0.22,6.0,11001.0,13000.0,4.634,44,21,21,2,44.289,0,0,314,49.44
297,cut/ strip &crimp with marking text,0.22,6.0,13001.0,15000.0,5.342,44,21,21,2,44.2679,0,0,315,49.44
298,cut/ strip &crimp with marking text,0.22,6.0,15001.0,17000.0,6.05,44,21,21,2,44.2462,0,0,316,49.44
299,cut/ strip &crimp with marking text,0.22,6.0,17001.0,19000.0,6.758,44,21,21,2,44.2253,0,0,318,49.44
303,cut/ strip &crimp with seal one side with marking text,0.22,6.0,60.0,100.0,1.558,48,21,21,6,48.062,0,0,203,53.93
304,cut/ strip &crimp with seal one side with marking text,0.22,6.0,101.0,1000.0,1.558,44,21,21,2,44.3094,0,0,319,49.44
305,cut/ strip &crimp with seal one side with marking text,0.22,6.0,1001.0,2000.0,1.788,44,21,21,2,44.326,0,0,320,49.44
306,cut/ strip &crimp with seal one side with marking text,0.22,6.0,2001.0,3000.0,2.03,44,21,21,2,44.3249,0,0,321,49.44
307,cut/ strip &crimp with seal one side with marking text,0.22,6.0,3001.0,4000.0,2.356,44,21,21,2,44.3137,0,0,322,49.44
308,cut/ strip &crimp with seal one side with marking text,0.22,6.0,4001.0,5000.0,2.716,44,21,21,2,44.3085,0,0,323,49.44
309,cut/ strip &crimp with seal one side with marking text,0.22,6.0,5001.0,6000.0,3.116,44,21,21,2,44.2965,0,0,324,49.44
310,cut/ strip &crimp with seal one side with marking text,0.22,6.0,6001.0,7000.0,3.406,44,21,21,2,44.2864,0,0,325,49.44
311,cut/ strip &crimp with seal one side with marking text,0.22,6.0,7001.0,8000.0,3.673,44,21,21,2,44.2828,0,0,326,49.44
312,cut/ strip &crimp with seal one side with marking text,0.22,6.0,8001.0,9000.0,3.979,44,21,21,2,44.2826,0,0,327,49.44
313,cut/ strip &crimp with seal one side with marking text,0.22,6.0,9001.0,11000.0,4.475,44,21,21,2,44.2738,0,0,339,49.44
314,cut/ strip &crimp with seal one side with marking text,0.22,6.0,11001.0,13000.0,5.112,44,21,21,2,44.2776,0,0,329,49.44
315,cut/ strip &crimp with seal one side with marking text,0.22,6.0,13001.0,15000.0,5.961,44,21,21,2,44.2641,0,0,330,49.44
316,cut/ strip &crimp with seal one side with marking text,0.22,6.0,15001.0,17000.0,6.81,44,21,21,2,44.2518,0,0,331,49.44
317,cut/ strip &crimp with seal one side with marking text,0.22,6.0,17001.0,19000.0,7.659,44,21,21,2,44.2437,0,0,303,49.44
321,Automatic plugging - single side,0.13,6.0,200.0,500.0,2.52,44,21,21,2,44.5251,0,0,302,49.44
322,Automatic plugging - single side,0.13,6.0,501.0,1000.0,2.44,44,21,21,2,44.2669,0,0,305,49.44
323,Automatic plugging - single side,0.13,6.0,1001.0,1500.0,2.6,44,21,21,2,44.2378,0,0,309,49.44
328,Automatic plugging - double side,0.13,6.0,400.0,1000.0,3.38,44,21,21,2,44.1973,0,0,304,49.44
329,Automatic plugging - double side,0.13,6.0,1001.0,1500.0,3.48,44,21,21,2,44.2465,0,0,306,49.44
330,Automatic plugging - double side,0.13,6.0,1501.0,2000.0,3.78,44,21,21,2,44.2622,0,0,307,49.44
335,"Cut, Crimp and apply resistance solder (Inox terminal)",0.35,5.0,80.0,1000.0,1.5551,44,21,21,2,44.1034,0,0,308,49.44
336,cut & double crimping without seal,0.22,6.0,60.0,100.0,3.21,48,21,21,6,47.9887,0,0,198,53.93
337,cut & double crimping without seal,0.22,6.0,101.0,1000.0,3.21,44,21,21,2,44.1976,0,0,317,49.44
338,cut & double crimping without seal,0.22,6.0,1001.0,2000.0,3.35,44,21,21,2,44.2132,0,0,310,49.44
339,cut & double crimping without seal,0.22,6.0,2001.0,3000.0,3.44,44,21,21,2,44.2427,0,0,311,49.44
340,cut & double crimping without seal,0.22,6.0,3001.0,4000.0,3.5,44,21,21,2,44.2647,0,0,312,49.44
341,cut & double crimping without seal,0.22,6.0,4001.0,5000.0,3.55,44,21,21,2,44.276,0,0,297,49.44
342,cut & double crimping without seal,0.22,6.0,5001.0,6000.0,3.59,44,21,21,2,44.2765,0,0,298,49.44
343,cut & double crimping without seal,0.22,6.0,6001.0,7000.0,3.63,44,21,21,2,44.2789,0,0,299,49.44
344,cut & double crimping without seal,0.22,6.0,7001.0,8000.0,3.66,44,21,21,2,44.2861,0,0,332,49.44
345,cut & double crimping without seal,0.22,6.0,8001.0,9000.0,3.69,44,21,21,2,44.2938,0,0,286,49.44
346,cut & double crimping without seal,0.22,6.0,9001.0,10000.0,3.72,44,21,21,2,44.302,0,0,287,49.44
347,cut & double crimping without seal,0.22,6.0,10001.0,11000.0,3.75,44,21,21,2,44.3063,0,0,289,49.44
348,cut & double crimping without seal,0.22,6.0,11001.0,12000.0,3.77,44,21,21,2,44.3065,0,0,288,49.44
349,cut & double crimping without seal,0.22,6.0,12001.0,13000.0,3.79,44,21,21,2,44.3025,0,0,290,49.44
354,cut & double crimping without seal,0.22,6.0,60.0,100.0,3.531,48,21,21,6,47.9758,0,0,202,53.93
355,cut & double crimping without seal,0.22,6.0,101.0,1000.0,3.531,44,21,21,2,44.2025,0,0,291,49.44
356,cut & double crimping without seal,0.22,6.0,1001.0,2000.0,3.685,44,21,21,2,44.2303,0,0,292,49.44
357,cut & double crimping without seal,0.22,6.0,2001.0,3000.0,3.784,44,21,21,2,44.2523,0,0,293,49.44
358,cut & double crimping without seal,0.22,6.0,3001.0,4000.0,3.85,44,21,21,2,44.2627,0,0,294,49.44
359,cut & double crimping without seal,0.22,6.0,4001.0,5000.0,3.905,44,21,21,2,44.2615,0,0,295,49.44
360,cut & double crimping without seal,0.22,6.0,5001.0,6000.0,3.949,44,21,21,2,44.2692,0,0,328,49.44
361,cut & double crimping without seal,0.22,6.0,6001.0,7000.0,3.993,44,21,21,2,44.2659,0,0,274,49.44
362,cut & double crimping without seal,0.22,6.0,7001.0,8000.0,4.026,44,21,21,2,44.2731,0,0,273,49.44
363,cut & double crimping without seal,0.22,6.0,8001.0,9000.0,4.059,44,21,21,2,44.2813,0,0,272,49.44
364,cut & double crimping without seal,0.22,6.0,9001.0,10000.0,4.092,44,21,21,2,44.291,0,0,271,49.44
365,cut & double crimping without seal,0.22,6.0,10001.0,11000.0,4.125,44,21,21,2,44.2999,0,0,270,49.44
366,cut & double crimping without seal,0.22,6.0,11001.0,12000.0,4.147,44,21,21,2,44.3007,0,0,285,49.44
367,cut & double crimping without seal,0.22,6.0,12001.0,13000.0,4.169,44,21,21,2,44.2966,0,0,284,49.44
372,cut & double crimping with seal,0.22,6.0,60.0,100.0,3.72,48,21,21,6,47.9708,0,0,204,53.93
373,cut & double crimping with seal,0.22,6.0,101.0,1000.0,3.72,44,21,21,2,44.1825,0,0,301,49.44
374,cut & double crimping with seal,0.22,6.0,1001.0,2000.0,3.8,44,21,21,2,44.2928,0,0,282,49.44
375,cut & double crimping with seal,0.22,6.0,2001.0,3000.0,3.89,44,21,21,2,44.3164,0,0,283,49.44
376,cut & double crimping with seal,0.22,6.0,3001.0,4000.0,3.98,44,21,21,2,44.3283,0,0,300,49.44
377,cut & double crimping with seal,0.22,6.0,4001.0,5000.0,4.1,44,21,21,2,44.339,0,0,333,49.44
378,cut & double crimping with seal,0.22,6.0,5001.0,6000.0,4.23,44,21,21,2,44.3387,0,0,280,49.44
379,cut & double crimping with seal,0.22,6.0,6001.0,7000.0,4.38,44,21,21,2,44.3311,0,0,281,49.44
380,cut & double crimping with seal,0.22,6.0,7001.0,8000.0,4.56,44,21,21,2,44.3199,0,0,296,49.44
381,cut & double crimping with seal,0.22,6.0,8001.0,9000.0,4.76,44,21,21,2,44.3096,0,0,249,49.44
382,cut & double crimping with seal,0.22,6.0,9001.0,10000.0,5.0,44,21,21,2,44.3098,0,0,250,49.44
383,cut & double crimping with seal,0.22,6.0,10001.0,11000.0,5.27,44,21,21,2,44.3064,0,0,251,49.44
384,cut & double crimping with seal,0.22,6.0,11001.0,12000.0,5.6,44,21,21,2,44.2915,0,0,252,49.44
385,cut & double crimping with seal,0.22,6.0,12001.0,13000.0,5.99,44,21,21,2,44.2735,0,0,254,49.44
390,cut & double crimping with seal,0.22,6.0,60.0,100.0,4.092,48,21,21,6,47.9619,0,0,195,53.93
391,cut & double crimping with seal,0.22,6.0,101.0,1000.0,4.092,44,21,21,2,44.1941,0,0,255,49.44
392,cut & double crimping with seal,0.22,6.0,1001.0,2000.0,4.18,44,21,21,2,44.2957,0,0,256,49.44
393,cut & double crimping with seal,0.22,6.0,2001.0,3000.0,4.279,44,21,21,2,44.3171,0,0,257,49.44
394,cut & double crimping with seal,0.22,6.0,3001.0,4000.0,4.378,44,21,21,2,44.324,0,0,258,49.44
395,cut & double crimping with seal,0.22,6.0,4001.0,5000.0,4.51,44,21,21,2,44.3252,0,0,259,49.44
396,cut & double crimping with seal,0.22,6.0,5001.0,6000.0,4.653,44,21,21,2,44.3309,0,0,279,49.44
397,cut & double crimping with seal,0.22,6.0,6001.0,7000.0,4.818,44,21,21,2,44.3312,0,0,278,49.44
398,cut & double crimping with seal,0.22,6.0,7001.0,8000.0,5.016,44,21,21,2,44.3242,0,0,277,49.44
399,cut & double crimping with seal,0.22,6.0,8001.0,9000.0,5.236,44,21,21,2,44.315,0,0,276,49.44
400,cut & double crimping with seal,0.22,6.0,9001.0,10000.0,5.5,44,21,21,2,44.3046,0,0,275,49.44
401,cut & double crimping with seal,0.22,6.0,10001.0,11000.0,5.797,44,21,21,2,44.3023,0,0,230,49.44
402,cut & double crimping with seal,0.22,6.0,11001.0,12000.0,6.16,44,21,21,2,44.2915,0,0,231,49.44
403,cut & double crimping with seal,0.22,6.0,12001.0,13000.0,6.589,44,21,21,2,44.2739,0,0,232,49.44
408,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.48,38,18,18,2,39.1246,0,0,421,42.7
409,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,6.41,38,18,18,2,39.0821,0,0,420,42.7
410,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,8.53,38,18,18,2,39.0176,0,0,419,42.7
411,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,10.78,38,18,18,2,39.0032,0,0,418,42.7
412,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,12.86,38,18,18,2,39.0202,0,0,417,42.7
413,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,13.79,38,18,18,2,39.0291,0,0,416,42.7
414,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,16.67,38,18,18,2,39.0459,0,0,415,42.7
415,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.928,38,18,18,2,39.1099,0,0,414,42.7
416,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,7.051,38,18,18,2,39.0649,0,0,413,42.7
417,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,9.383,38,18,18,2,39.0036,0,0,412,42.7
418,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,11.858,38,18,18,2,39.0119,0,0,411,42.7
419,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,14.146,38,18,18,2,39.0353,0,0,410,42.7
420,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,15.169,38,18,18,2,39.0367,0,0,409,42.7
421,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,18.337,38,18,18,2,39.0504,0,0,435,42.7
422,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.47,38,18,18,2,39.1249,0,0,434,42.7
423,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,5.22,38,18,18,2,39.1185,0,0,433,42.7
424,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,6.76,38,18,18,2,39.0518,0,0,432,42.7
425,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,8.12,38,18,18,2,39.0476,0,0,436,42.7
426,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,9.48,38,18,18,2,39.0472,0,0,437,42.7
427,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,10.91,38,18,18,2,39.0463,0,0,438,42.7
428,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,12.29,38,18,18,2,39.0429,0,0,439,42.7
429,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.917,38,18,18,2,39.1103,0,0,443,42.7
430,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,5.742,38,18,18,2,39.1018,0,0,442,42.7
431,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,7.436,38,18,18,2,39.0379,0,0,441,42.7
432,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,8.932,38,18,18,2,39.0308,0,0,440,42.7
433,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,10.428,38,18,18,2,39.0285,0,0,447,42.7
434,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,12.001,38,18,18,2,39.0268,0,0,446,42.7
435,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,13.519,38,18,18,2,39.0402,0,0,445,42.7
436,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.27,38,18,18,2,39.131,0,0,444,42.7
437,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,4.7,38,18,18,2,39.1367,0,0,462,42.7
438,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,5.95,38,18,18,2,39.0709,0,0,463,42.7
439,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,6.92,38,18,18,2,39.0673,0,0,461,42.7
440,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,7.98,38,18,18,2,39.0713,0,0,460,42.7
441,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,9.0,38,18,18,2,39.0792,0,0,457,42.7
442,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,10.06,38,18,18,2,39.0872,0,0,456,42.7
443,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.697,38,18,18,2,39.1183,0,0,459,42.7
444,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,5.17,38,18,18,2,39.1202,0,0,458,42.7
445,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,6.545,38,18,18,2,39.0568,0,0,454,42.7
446,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,7.612,38,18,18,2,39.0556,0,0,455,42.7
447,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,8.778,38,18,18,2,39.0581,0,0,453,42.7
448,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,9.9,38,18,18,2,39.0658,0,0,452,42.7
449,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,11.066,38,18,18,2,39.0668,0,0,450,42.7
450,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.19,38,18,18,2,39.1335,0,0,451,42.7
451,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,4.49,38,18,18,2,39.1434,0,0,448,42.7
452,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,5.49,38,18,18,2,39.0809,0,0,449,42.7
453,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,6.375,38,18,18,2,39.0781,0,0,408,42.7
454,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,7.265,38,18,18,2,39.0841,0,0,407,42.7
455,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,8.13,38,18,18,2,39.0933,0,0,406,42.7
456,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,9.075,38,18,18,2,39.1007,0,0,405,42.7
457,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.609,38,18,18,2,39.1208,0,0,404,42.7
458,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,4.939,38,18,18,2,39.1281,0,0,403,42.7
459,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,6.039,38,18,18,2,39.0691,0,0,402,42.7
460,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,7.0125,38,18,18,2,39.0657,0,0,401,42.7
461,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,7.9915,38,18,18,2,39.0711,0,0,400,42.7
462,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,8.943,38,18,18,2,39.0801,0,0,399,42.7
463,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,9.9825,38,18,18,2,39.0885,0,0,398,42.7
464,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.11,38,18,18,2,39.136,0,0,427,42.7
465,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,4.28,38,18,18,2,39.1491,0,0,428,42.7
466,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,5.03,38,18,18,2,39.0878,0,0,425,42.7
467,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,5.83,38,18,18,2,39.0898,0,0,426,42.7
468,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,6.55,38,18,18,2,39.0981,0,0,429,42.7
469,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,7.26,38,18,18,2,39.1088,0,0,424,42.7
470,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,8.09,38,18,18,2,39.1121,0,0,464,42.7
471,twist wire cut & crimp with seal both sides,0.22,2.5,700.0,1000.0,4.521,38,18,18,2,39.1234,0,0,422,42.7
472,twist wire cut & crimp with seal both sides,0.22,2.5,1001.0,2000.0,4.708,38,18,18,2,39.1364,0,0,423,42.7
473,twist wire cut & crimp with seal both sides,0.22,2.5,2001.0,3000.0,5.533,38,18,18,2,39.0799,0,0,467,42.7
474,twist wire cut & crimp with seal both sides,0.22,2.5,3001.0,4000.0,6.413,38,18,18,2,39.0773,0,0,466,42.7
475,twist wire cut & crimp with seal both sides,0.22,2.5,4001.0,5000.0,7.205,38,18,18,2,39.0853,0,0,430,42.7
476,twist wire cut & crimp with seal both sides,0.22,2.5,5001.0,6000.0,7.986,38,18,18,2,39.0958,0,0,431,42.7
477,twist wire cut & crimp with seal both sides,0.22,2.5,6001.0,7000.0,8.899,38,18,18,2,39.1028,0,0,465,42.7
478,convoluted tube cutting,2.8,40.0,0.0,200.0,0.72,78,38,38,2,77.7299,0,0,67,87.64
479,convoluted tube cutting,2.8,40.0,201.0,400.0,0.78,76,38,38,0,75.9709,0,0,165,85.39
480,convoluted tube cutting,2.8,40.0,401.0,600.0,0.96,76,38,38,0,75.9729,0,0,148,85.39
481,convoluted tube cutting,2.8,40.0,601.0,800.0,1.14,76,38,38,0,75.973,0,0,151,85.39
482,convoluted tube cutting,2.8,40.0,801.0,1000.0,1.26,76,38,38,0,75.9732,0,0,155,85.39
483,convoluted tube cutting,2.8,40.0,1001.0,1200.0,1.5,76,38,38,0,75.9727,0,0,150,85.39
484,convoluted tube cutting,2.8,40.0,1201.0,1400.0,1.74,76,38,38,0,75.9715,0,0,163,85.39
485,convoluted tube cutting,2.8,40.0,1401.0,1600.0,1.98,76,38,38,0,75.9704,0,0,152,85.39
486,convoluted tube cutting,2.8,40.0,1601.0,1800.0,2.22,76,38,38,0,75.9696,0,0,153,85.39
487,convoluted tube cutting,2.8,40.0,1801.0,2000.0,2.46,76,38,38,0,75.9689,0,0,154,85.39
488,convoluted tube cutting,2.8,40.0,2001.0,2200.0,2.7,76,38,38,0,75.9684,0,0,156,85.39
489,convoluted tube cutting,2.8,40.0,2201.0,2400.0,2.94,76,38,38,0,75.9678,0,0,157,85.39
490,convoluted tube cutting,2.8,40.0,2401.0,2600.0,3.18,76,38,38,0,75.9674,0,0,159,85.39
491,convoluted tube cutting,2.8,40.0,2601.0,2800.0,3.42,76,38,38,0,75.9669,0,0,158,85.39
492,convoluted tube cutting,2.8,40.0,2801.0,3000.0,3.66,76,38,38,0,75.9666,0,0,160,85.39
493,convoluted tube cutting,2.8,40.0,3001.0,3200.0,3.9,76,38,38,0,75.9664,0,0,161,85.39
494,convoluted tube cutting,2.8,40.0,3201.0,3400.0,4.14,76,38,38,0,75.9662,0,0,162,85.39
495,convoluted tube cutting,2.8,40.0,3401.0,3600.0,4.38,76,38,38,0,75.966,0,0,164,85.39
496,convoluted tube cutting,2.8,40.0,3601.0,3800.0,4.62,76,38,38,0,75.9658,0,0,147,85.39
497,convoluted tube cutting,2.8,40.0,3801.0,4000.0,4.86,76,38,38,0,75.9656,0,0,132,85.39
498,convoluted tube cutting,2.8,40.0,4001.0,4200.0,5.1,76,38,38,0,75.9655,0,0,133,85.39
499,convoluted tube cutting,2.8,40.0,4201.0,4400.0,5.34,76,38,38,0,75.9654,0,0,134,85.39
500,convoluted tube cutting,2.8,40.0,4401.0,4600.0,5.58,76,38,38,0,75.9653,0,0,135,85.39
501,convoluted tube cutting,2.8,40.0,4601.0,4800.0,5.82,76,38,38,0,75.9652,0,0,136,85.39
502,convoluted tube cutting,2.8,40.0,4801.0,5000.0,6.06,76,38,38,0,75.9651,0,0,137,85.39
503,convoluted tube cutting,2.8,40.0,5001.0,5200.0,6.3,76,38,38,0,75.965,0,0,138,85.39
504,convoluted tube cutting,2.8,40.0,5201.0,5400.0,6.54,76,38,38,0,75.9649,0,0,139,85.39
505,convoluted tube cutting,2.8,40.0,5401.0,5600.0,6.78,76,38,38,0,75.9648,0,0,140,85.39
506,convoluted tube cutting,2.8,40.0,5601.0,5800.0,7.02,76,38,38,0,75.9647,0,0,141,85.39
507,convoluted tube cutting,2.8,40.0,5801.0,6000.0,7.26,76,38,38,0,75.9647,0,0,142,85.39
508,convoluted tube cutting,2.8,40.0,6001.0,6200.0,7.5,76,38,38,0,75.9646,0,0,143,85.39
509,convoluted tube cutting,2.8,40.0,6201.0,6400.0,7.74,76,38,38,0,75.9645,0,0,144,85.39
510,convoluted tube cutting,2.8,40.0,6401.0,6600.0,7.98,76,38,38,0,75.9645,0,0,145,85.39
511,convoluted tube cutting,2.8,40.0,6601.0,6800.0,8.22,76,38,38,0,75.9644,0,0,149,85.39
512,convoluted tube cutting,2.8,40.0,6801.0,7000.0,8.46,76,38,38,0,75.9643,0,0,116,85.39
513,convoluted tube cutting,2.8,40.0,7001.0,7200.0,8.70000000000001,76,38,38,0,75.9642,0,0,118,85.39
514,convoluted tube cutting,2.8,40.0,7201.0,7400.0,8.94000000000001,76,38,38,0,75.9642,0,0,119,85.39
515,convoluted tube cutting,2.8,40.0,7401.0,7600.0,9.18000000000001,76,38,38,0,75.9641,0,0,122,85.39
516,convoluted tube cutting,2.8,40.0,7601.0,7800.0,9.42000000000001,76,38,38,0,75.964,0,0,123,85.39
517,convoluted tube cutting,2.8,40.0,7801.0,8000.0,9.66000000000001,76,38,38,0,75.964,0,0,120,85.39
518,convoluted tube cutting,2.8,40.0,8001.0,8200.0,9.90000000000001,76,38,38,0,75.964,0,0,121,85.39
519,convoluted tube cutting,2.8,40.0,8201.0,8400.0,10.14,76,38,38,0,75.9639,0,0,130,85.39
520,convoluted tube cutting,2.8,40.0,8401.0,8600.0,10.38,76,38,38,0,75.9639,0,0,131,85.39
